Site,Species,Tree #,Height,Diameter
K2,COAP,1,2.8,7.05
K4,COAP,1,2.8,6.50
K2,COAP,2,3.6,10.25
K4,COAP,2,3.8,6.00
K2,COAP,3,2.6,3.45
K4,COAP,3,3.8,2.30
K2,COAP,4,4.6,7.95
K4,COAP,4,5.2,10.70
K2,COAP,5,4.0,6.35
K4,COAP,5,2.2,4.90
K2,COAP,6,2.4,5.20
K2,COAP,7,5.2,10.75
K2,COAP,8,2.8,7.75
K2,COAP,9,5.2,6.00
K2,COAP,10,3.4,7.70
KR3,COAP,11,3.2,6.2
KR3,COAP,12,3.4,7.5
KR3,COAP,13,3.8,5.4
KR3,COAP,14,2.4,5.1
KR3,COAP,15,4.8,10.3
KR3,COAP,16,6.6,13.7
KR3,COAP,17,4.8,13.3
KR3,COAP,18,5.6,7.3
KR3,COAP,19,3.8,4.1
Shingwedzi,COMO,1,2.0,9.90
K2,COMO,1,6.8,26.35
Shingwedzi,COMO,2,2.4,8.75
K2,COMO,2,6.2,19.90
Shingwedzi,COMO,3,4.4,15.50
K2,COMO,3,4.6,11.80
Shingwedzi,COMO,4,4.8,17.70
K2,COMO,4,6.0,15.20
Shingwedzi,COMO,5,4.2,15.25
K2,COMO,5,4.2,9.30
Shingwedzi,COMO,6,19.6,138.60
K2,COMO,6,5.6,9.70
Shingwedzi,COMO,7,19.8,62.20
K2,COMO,7,11.2,38.50
Shingwedzi,COMO,8,16.0,56.60
K2,COMO,8,5.4,10.35
Shingwedzi,COMO,9,16.2,95.75
K2,COMO,9,6.0,15.65
Shingwedzi,COMO,10,16.8,63.20
K2,COMO,10,7.4,12.50
Shingwedzi,COMO,11,12.8,62.10
Shingwedzi,COMO,12,16.6,54.90
Shingwedzi,COMO,13,14.6,56.10
Shingwedzi,COMO,14,16.2,55.60
Shingwedzi,COMO,15,17.8,81.80
KR7,COMO,16,9.4,37.2
KR7,COMO,17,7.0,57.9
KR7,COMO,18,9.2,56.0
KR7,COMO,19,3.8,19.0
KR7,COMO,20,4.4,18.5
KR7,COMO,21,4.4,24.1
KR7,COMO,22,6.4,35.7
KR7,COMO,23,4.6,18.9
KR7,COMO,24,8.2,47.0
KR7,COMO,25,8.6,30.9
KR9,COMO,26,4.6,17.8
KR9,COMO,27,6.6,15.5
KR9,COMO,28,4.4,12.0
KR9,COMO,29,5.2,21.8
KR9,COMO,30,1.6,4.0
KR9,COMO,31,1.8,3.0
KR9,COMO,32,1.8,5.2
KR9,COMO,33,5.6,14.3
KR9,COMO,34,2.6,7.8
KR9,COMO,35,2.4,8.1
KR9,COMO,36,2.4,8.2
KR9,COMO,37,2.4,5.5
KR9,COMO,38,4.6,7.1
KR9,COMO,39,6.0,11.9
KR9,COMO,40,2.0,7.0
Punda Maria,TESE,1,8.4,23.25
K1,TESE,1,4.8,15.60
K4,TESE,1,2.0,3.80
Wits,TESE,2,7.4,30.90
K1,TESE,2,4.6,17.55
K4,TESE,2,2.6,4.50
Wits,TESE,3,7.6,25.00
Wits,TESE,3,3.8,35.10
K1,TESE,3,4.2,15.40
K4,TESE,3,2.6,5.15
Wits,TESE,4,8.4,29.50
K1,TESE,4,3.6,12.60
K4,TESE,4,4.0,10.70
Wits,TESE,5,8.6,31.20
K1,TESE,5,4.8,10.50
K4,TESE,5,4.8,9.70
Wits,TESE,6,7.0,18.90
K1,TESE,6,4.6,14.80
Wits,TESE,7,6.6,13.50
K1,TESE,7,4.6,11.10
Wits,TESE,8,6.6,18.50
K1,TESE,8,4.2,16.90
Wits,TESE,9,7.2,20.75
K1,TESE,9,6.4,19.40
Wits,TESE,10,6.6,18.00
K1,TESE,10,5.0,10.90
Wits,TESE,11,6.8,23.80
K1,TESE,11,2.8,9.20
Wits,TESE,12,6.6,25.85
K1,TESE,12,4.6,6.80
Wits,TESE,13,7.0,31.25
K1,TESE,13,12.0,11.15
Wits,TESE,14,8.2,13.50
K1,TESE,14,3.0,6.60
Wits,TESE,15,9.2,28.65
K1,TESE,15,3.0,11.40
Aero,TESE,16,3.4,11.45
Aero,TESE,17,4.0,5.60
Aero,TESE,17,2.0,6.25
Aero,TESE,18,6.0,9.85
Aero,TESE,19,4.0,8.40
Aero,TESE,20,5.8,12.00
Wits,TESE,21,6.6,27.8
Wits,TESE,22,6.0,18.0
Wits,TESE,23,3.6,19.0
Wits,TESE,24,5.2,18.3
Wits,TESE,25,4.6,22.0
Wits,TESE,26,7.0,32.8
Wits,TESE,27,8.0,38.2
Wits,TESE,28,9.0,37.8
Wits,TESE,29,7.8,40.1
Wits,TESE,30,4.4,12.5
Wits,TESE,31,4.4,13.5
Wits,TESE,32,4.0,14.7
Wits,TESE,33,4.0,17.5
Wits,TESE,34,6.0,24.3
Wits,TESE,35,4.6,8.9
Wits,TESE,36,12.6,6.5
KR5 (pretoriaskop),TESE,37,9.0,27.1
KR5 (pretoriaskop),TESE,38,8.2,27.7
KR5 (pretoriaskop),TESE,39,8.2,29.2
KR5 (pretoriaskop),TESE,40,7.4,26.9
