"","MAP","MFRI"
"1",420.386498687126,22.333
"2",420.869719374442,33.5
"3",419.371590007261,67
"4",419.42979311052,67
"5",420.873549989459,22.333
"6",421.998836173357,22.333
"7",422.169502562668,22.333
"8",421.927678538127,22.333
"9",420.788990647959,22.333
"10",420,22.333
"11",421.061047098521,67
"12",420.447602961863,33.5
"13",419.604572581609,33.5
"14",426.465399655214,67
"15",429.875955854766,22.333
"16",426.874052097496,22.333
"17",424.027929531254,22.333
"18",421.281458167039,22.333
"19",419.885497079663,22.333
"20",419.874392622087,16.75
"21",419.416930332334,33.5
"22",432.539775963729,33.5
"23",421.154090213275,67
"24",423.752710057715,33.5
"25",422.877257093477,22.333
"26",424.515178475286,33.5
"27",430.413509505295,33.5
"28",430.811649826232,16.75
"29",429.334500847928,16.75
"30",425.991020282866,16.75
"31",421.156053038979,22.333
"32",419.155590997597,22.333
"33",418.874272276739,16.75
"34",418.794250566638,16.75
"35",442.530607259017,33.5
"36",433.543029410148,13.4
"37",433.909814875368,33.5
"38",432.168455546988,33.5
"39",434.849966579142,33.5
"40",435.312373282397,16.75
"41",432.824249822871,16.75
"42",433.724504839595,16.75
"43",430.173092118035,16.75
"44",424.908712999541,16.75
"45",421.820731003657,13.4
"46",419.061665902255,13.4
"47",417.439097229694,22.333
"48",416.520855503131,22.333
"49",415.780136579534,33.5
"50",413.210896978533,67
"51",435.350149994335,9.571
"52",436.614840992691,9.571
"53",437.060281477114,13.4
"54",437.043063612671,22.333
"55",437.021135242181,22.333
"56",438.055385301376,16.75
"57",438.923453702414,11.167
"58",438.604543745203,13.4
"59",441.373905660681,13.4
"60",441.257820063292,13.4
"61",434.77367807512,13.4
"62",433.720434818458,11.167
"63",428.612204972014,11.167
"64",418.721607642403,13.4
"65",416.385666193239,16.75
"66",415.913214357179,16.75
"67",415.849706841166,33.5
"68",415.36377312349,33.5
"69",414.066056138026,33.5
"70",414.429211534564,33.5
"71",415.604560915333,33.5
"72",412.92652591707,67
"73",410.964528650274,67
"74",436.6294214856,9.571
"75",442.272314343526,9.571
"76",446.285840696884,13.4
"77",447.150894911611,16.75
"78",442.692621531169,22.333
"79",444.821742090481,16.75
"80",446.963125954946,11.167
"81",446.962141485221,13.4
"82",449.371863001414,13.4
"83",450.040077706209,13.4
"84",447.200353985748,13.4
"85",443.823490868024,11.167
"86",442.346555923296,11.167
"87",431.211533549903,11.167
"88",418.834091778952,13.4
"89",418.062386737896,11.167
"90",416.670675461308,22.333
"91",415.322196396222,33.5
"92",416.364336113822,33.5
"93",416.693841528762,33.5
"94",415.068465098275,33.5
"95",412.032218716569,67
"96",410,67
"97",410,67
"98",441.76453723535,11.167
"99",446.971891580611,13.4
"100",453.401573248025,16.75
"101",453.568004876903,16.75
"102",450.691819342252,22.333
"103",449.257611118217,22.333
"104",449.798059318382,13.4
"105",451.228425177936,13.4
"106",452.192080485817,13.4
"107",449.66473869548,33.5
"108",448.594695704242,22.333
